Date,TSLA_Adj_Close,TSLA_Volume,SPY_Close,VIX_Close,TSLA_Return,SPY_Return,VIX_Change,TSLA_Volume_Log,TSLA_Volume_Change
2010-06-30,4.766,85935500,79.04914093017578,34.540000915527344,-0.002514670227067331,-0.009544955316066571,0.4099998474121094,18.269107572827078,-0.08790360566968047
2010-07-01,4.392,41094000,78.69684600830078,32.86000061035156,-0.08172267446932079,-0.004466617686094137,-1.6800003051757812,17.531372683408097,-0.7377348894189808
2010-07-07,3.16,34608500,81.26237487792969,26.84000015258789,-0.019430257155961816,0.031009834585539724,-2.809999465942383,17.359609874597197,0.007948637066199638
2010-07-08,3.492,38557000,82.0665283203125,25.709999084472656,0.09990261037853493,0.009847123498374384,-1.1300010681152344,17.4676482238501,0.10803834925290445
2010-07-09,3.48,20253000,82.67916107177734,24.979999542236328,-0.00344234419097279,0.007437348772663189,-0.7299995422363281,16.823813488692117,-0.6438347351579843
2010-07-12,3.41,11012500,82.7327880859375,24.43000030517578,-0.020320002490957494,0.0006484055875297253,-0.5499992370605469,16.21454154922657,-0.6092719394655468
2010-07-13,3.628,13400500,83.98112487792969,24.559999465942383,0.061969240957464776,0.014976076098546273,0.12999916076660156,16.410802577657847,0.19626102843127669
2010-07-14,3.968,20976000,83.97341918945312,24.88999938964844,0.08958065716973615,-9.175921407493168e-05,0.32999992370605824,16.858889484985617,0.44808690732777023
2010-07-15,3.978,18699000,83.99640655517578,25.13999938964844,0.002516991009154247,0.00027370827783223324,0.25,16.743980604459097,-0.11490888052652082
2010-07-16,4.128,13106500,81.68360137939453,26.25,0.037013847747481024,-0.027920754614180376,1.110000610351559,16.388618848319304,-0.3553617561397928
2010-07-19,4.382,12432500,82.16606140136719,25.969999313354492,0.05971221299401317,0.0058890742665114555,-0.2800006866455078,16.33582456957103,-0.052794278748272916
2010-07-20,4.06,9126500,83.0773696899414,23.93000030517578,-0.07632226755963357,0.011030000064178902,-2.039999008178711,16.026692827484975,-0.30913174208605554
2010-07-21,4.044,6262500,81.99761199951172,25.63999938964844,-0.003948672455416331,-0.013082213656694873,1.7099990844726598,15.650090024375258,-0.3766028031097175
2010-07-22,4.2,4789000,83.82792663574219,24.6299991607666,0.037850224131097746,0.02207608049823827,-1.0100002288818395,15.381832179324746,-0.26825784505051153
2010-07-23,4.258,3268000,84.55545043945312,23.469999313354492,0.013715041181965013,0.008641331983216111,-1.1599998474121094,14.99968873496203,-0.3821434443627165
2010-07-26,4.19,4611000,85.43616485595703,22.729999542236328,-0.016098832537241252,0.010361949854431151,-0.7399997711181641,15.343955311188843,0.3442665762268131
2010-07-27,4.11,3098500,85.42850494384766,23.190000534057617,-0.01927770542590319,-8.966057317152076e-05,0.46000099182128906,14.9464286813843,-0.3975266298045437
2010-07-28,4.144,2336000,84.87710571289062,24.25,0.008238476449038752,-0.006475431497129233,1.0599994659423828,14.663950622930255,-0.2824780584540445
2010-07-29,4.07,3080000,84.46357727050781,24.1299991607666,-0.01801850550267825,-0.004883991928002104,-0.12000083923339844,14.940440154949757,0.276489532019502
2010-07-30,3.988,2134500,84.44825744628906,23.5,-0.020353147354911793,-0.000181394326649097,-0.6299991607666016,14.573742985180154,-0.3666971697696031
2010-08-02,4.184,3590500,86.35517883300781,22.010000228881836,0.04797787466303002,0.02232976880485391,-1.489999771118164,15.09380202653251,0.520059041352356
2010-08-03,4.39,6152500,85.9416275024414,22.6299991607666,0.048061500324458,-0.004800461871966567,0.6199989318847656,15.632369061247347,0.5385670347148377
2010-08-04,4.252,4565000,86.51598358154297,22.209999084472656,-0.0319397666073785,0.006660862330540612,-0.4200000762939453,15.333929072011205,-0.298439989236142
2010-08-05,4.09,3981000,86.42407989501953,22.100000381469727,-0.038844490424991135,-0.0010628386890501004,-0.10999870300292969,15.197043601982454,-0.1368854700287514
2010-08-06,3.918,3709500,86.07180786132812,21.739999771118164,-0.042963650532361244,-0.004084416480920865,-0.3600006103515625,15.126407654611718,-0.07063594737073586
2010-08-09,3.92,4063500,86.53130340576172,22.13999938964844,0.0005103342800221258,0.005324314568306365,0.399999618530277,15.217555229175396,0.09114757456367784
2010-08-10,3.806,6406500,86.06416320800781,22.3700008392334,-0.02951288492841338,-0.005413135670343897,0.23000144958495738,15.672823657931769,0.45526842875637286
2010-08-11,3.58,3988000,83.70537567138672,25.38999938964844,-0.061215968461348816,-0.02778990098772024,3.0199985504150426,15.198800410063866,-0.47402324786790295
2010-08-12,3.52,3455000,83.19227600097656,25.729999542236328,-0.016901810802603254,-0.00614869390679741,0.3400001525878871,15.055333015183907,-0.1434673948799592
